Life_Expectancy,GPD
85.63,48000
84.85,34000
84.43,32000
84.19,18000
84.09,93000
84.07,67000
83.87,34000
83.86,78000
83.80,29000
83.47,33000
83.46,106000
83.46,41000
83.42,56000
83.07,53000
83.01,75000
82.73,58000
82.72,55000
82.58,105000
82.55,24000
82.52,87000
82.36,125000
82.30,57000
82.27,49000
82.25,47000
82.12,52000
82.09,68000
82.08,50000
82.03,20000
81.90,34000
81.82,32000
81.78,28000
81.54,48000
81.45,45000
81.42,30000
81.36,15000
81.29,11000
81.00,13000
80.60,41000
80.25,25000
79.78,17000
79.78,6000
79.46,76000
79.31,28000
78.98,30000
78.92,33000
78.81,17000
78.75,17000
78.49,20000
78.29,20000
78.26,11000
78.04,7000
78.02,12000
77.98,4000
77.95,6000
77.94,6000
77.91,6000
77.85,6000
